,Quarter,NetSales,OperatingProfit,Profit,EarningsPerShare,BookValuePerShare,ReturnOnEquity,QoQGrowthRate_OperatingProfit,QoQGrowthRate_Profit,QoQGrowthRate_EarningsPerShare,QoQGrowthRate_BookValuePerShare,QoQGrowthRate_ReturnOnEquity
0,2018/4Q,192332000000,6208000000,2715000000,60.24,1673.03,3.6,,,,,
1,2018/4Q,192430000000,6023000000,3521000000,78.11,1692.27,4.6,,,,,
2,2019/1Q,49829000000,1381000000,777000000,17.23,,1.0,,,,,
3,2019/2Q,99220000000,3352000000,1756000000,38.96,,2.2,,,,,
5,2019/3Q,150688000000,6060000000,3354000000,74.4,,4.1,-0.9,6.8,6.8,,4.2
6,2019/4Q,204474000000,8225000000,4007000000,88.88,1753.97,5.0,11.6,4.9,4.9,,3.3
7,2020/1Q,50379000000,2047000000,1116000000,24.76,,1.4,3.4,3.3,3.3,,3.1
8,2020/2Q,101665000000,5239000000,2770000000,61.43,,3.3,8.7,9.0,9.0,,8.0
9,2020/3Q,156070000000,10127000000,5877000000,65.16,,6.8,15.9,18.3,-3.8,,16.4
10,2020/4Q,213002000000,14248000000,9712000000,107.67,997.24,10.7,19.0,29.3,7.3,,25.7
11,2021/1Q,52975000000,4360000000,3507000000,38.86,,3.7,6.8,10.9,5.2,,9.4
12,2021/2Q,109054000000,9304000000,6892000000,76.34,,7.0,10.7,15.9,5.2,,13.1
13,2021/3Q,165600000000,16298000000,11522000000,127.61,,11.4,14.0,17.8,17.8,,14.0
14,2021/4Q,226335000000,23547000000,15672000000,173.56,1146.32,15.0,17.4,15.9,15.8,,11.6
15,2022/1Q,58190000000,5026000000,4391000000,48.62,,4.1,1.2,2.3,2.3,,1.1
16,2022/2Q,121962000000,11173000000,8638000000,47.81,,7.7,3.3,4.3,-7.2,,1.8
17,2022/3Q,185339000000,18790000000,12854000000,71.14,,11.4,4.3,3.2,-16.6,,0.0
18,2022/4Q,252708000000,27221000000,18838000000,104.26,653.67,15.8,5.9,7.1,-25.5,,2.1
19,2023/1Q,61420000000,5003000000,3583000000,20.01,,3.2,-0.0,-1.8,-11.8,,-2.4
20,2023/2Q,128198000000,12080000000,8322000000,46.78,,7.1,1.4,-0.7,-0.4,,-1.6
21,2023/3Q,201098000000,20280000000,12979000000,73.1,,11.0,2.3,0.3,0.8,,-1.1
